Internal Reference,Name,aw_mfg_part_no,Product Category,Description,Manufacturer,Company,,,
0065-0000015-00-0002,3518,3518,Polarize Key / Eyelet / Rivet,POLARIZING KEY,3m,All World Connect,,,
0089-0000001-00-0002,9448,9448,Tape,"TAPE DOUBLE SIDED 1/2""*50M",3m,All World Connect,,,
0089-0000002-00-0002,10956,10956,Tape,LAMINATING FILM,3m,All World Connect,,,
0007-0000003-00-0002,94751,94751,Cable Lug,RING #6 12~10 YEL,3m,All World Connect,,,
0007-0001071-00-0002,94808,94808,Cable Lug,"DISCON TAB 22-18 AWG,.187""",3m,All World Connect,,,
0056-0000719-00-0002,129708,129708,Multicore Cable,"CBL,HIFLEX 16POS 1.27MM AWG28",3m,All World Connect,,,
0007-0000001-00-0002,326859,326859,Cable Lug,FORK #6 10~12AWG YEL,3m,All World Connect,,,
0007-0000002-00-0002,327043,327043,Cable Lug,SPADE #6 22~16 ID3.68 OD6.35,3m,All World Connect,,,
0018-0000197-00-0002,10114-3000PE,10114-3000PE,Connector=CPC/D-Sub/IDC/BNC,CONN MDR PLUG 14POS SLD C,3m,All World Connect,,,
0018-0000198-00-0002,10120-3000PE,10120-3000PE,Connector=CPC/D-Sub/IDC/BNC,MDR PLUG 20P SOLDER SHLD,3m,All World Connect,,,
0018-0000199-00-0002,10120-6000EL,10120-6000EL,Connector=CPC/D-Sub/IDC/BNC,CONNECTOR,3m,All World Connect,,,
0018-0000200-00-0002,10126-3000PE,10126-3000PE,Connector=CPC/D-Sub/IDC/BNC,MDR PLUG 26P SOLDER SHLD,3m,All World Connect,,,
0018-0000201-00-0002,10126-3000VE,10126-3000VE,Connector=CPC/D-Sub/IDC/BNC,MDR PLUG 26P SHLD,3m,All World Connect,,,
0018-0000202-00-0002,10126-6000EC,10126-6000EC,Connector=CPC/D-Sub/IDC/BNC,MDR PLUG 26P IDC SHLD,3m,All World Connect,,,
0018-0000203-00-0002,10136-6000EC,10136-6000EC,Connector=CPC/D-Sub/IDC/BNC,MDR PLUG 36P IDC SHLD,3m,All World Connect,,,
0018-0002254-00-0002,10150-3000PE,10150-3000PE,Connector=CPC/D-Sub/IDC/BNC,MDR PLUG 50P SOLDER SHLD,3m,All World Connect,,,
0018-0000204-00-0002,10150-6000EC,10150-6000EC,Connector=CPC/D-Sub/IDC/BNC,MDR PLUG 50P IDC SHLD,3m,All World Connect,,,
0018-0000205-00-0002,10180-6000EC,10180-6000EC,Connector=CPC/D-Sub/IDC/BNC,CONN 80POS PLUG RIBBON MO,3m,All World Connect,,,
0018-0002537-00-0002,10214-55G3PC,10214-55G3PC,Connector=CPC/D-Sub/IDC/BNC,"CONN MDR RECPT 14POS R/A,SOLDE",3m,All World Connect,,,
0018-0002285-00-0002,10214-6212PC,10214-6212PC,Connector=CPC/D-Sub/IDC/BNC,CONN MDR RECPT 14POS VERT T/H,3m,All World Connect,,,
0018-0000206-00-0002,10220-5212PL,10220-5212PL,Connector=CPC/D-Sub/IDC/BNC,MDR RCPT 20P R/A,3m,All World Connect,,,
0018-0000207-00-0002,10226-0210EC,10226-0210EC,Connector=CPC/D-Sub/IDC/BNC,MDR RCPT 26P IDC SHLD PNL,3m,All World Connect,,,
0018-0000208-00-0002,10226-5212PL,10226-5212PL,Connector=CPC/D-Sub/IDC/BNC,MDR RCPT 26P R/A,3m,All World Connect,,,
0018-0002538-00-0002,10226-55G3PC,10226-55G3PC,Connector=CPC/D-Sub/IDC/BNC,"CONN MDR RECPT 26POS R/A,SOLDE",3m,All World Connect,,,
0018-0002294-00-0002,10226-6212PC,10226-6212PC,Connector=CPC/D-Sub/IDC/BNC,"D-SUB,MICRO,26P VERT SHLD RCPT",3m,All World Connect,,,
